2019-06-06 18:45:41.6406 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.6616 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.6696 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.6696 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.6696 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.6956 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.7026 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.7316 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.7396 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.7516 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.7516 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.7676 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.7676 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.7866 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.7996 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.7996 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.8196 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.8266 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.8266 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.8416 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.8416 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.8416 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.8656 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.8736 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.8736 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.8916 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.9096 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.9206 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.9206 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.9446 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.9516 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.9516 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.9706 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.9706 | TRACE | Chess.Cell | Cell was colored.
2019-06-06 18:45:41.9856 | INFO | Chess.UserInterface | The board was drawing.
2019-06-06 18:47:17.3084 | INFO | Chess.Program | User input 8 8.
2019-06-06 18:47:17.3544 | TRACE | Chess.Board | The board was building. Board with 64 cells.
2019-06-06 18:47:17.3894 | INFO | Chess.UserInterface | The board was drawing.
